"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Q2";"TO-92_Inline_Wide";1;"ZVN4206AVSTZ";;;
2;"G***";"Kazoosh!-Logo";1;"LOGO";;;
3;"M3";"MountingHole_3.2mm_M3_Pad_TopBottom";1;"MountingHole_3.2mm_M3_Pad_TopBottom";;;
4;"SW2";"SW_PUSH_6mm_H5mm_4pin";1;"SW_Push_standard_6x6_four_pins";;;
5;"U2";"DIP-8_W7.62mm";1;"ATtiny85V-10PU";;;
6;"U1";"R_Array_SIP4";1;"YX8051_JF";;;
7;"SW1";"SW_Slide_1P2T_CK_OS102011MS2Q";1;"SW_SPDT";;;
8;"R7,R6,R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"120";;;
9;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"220k";;;
10;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"510k";;;
11;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"330k";;;
12;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1M";;;
13;"Q1";"TO-92_Inline_Wide";1;"2N7000";;;
14;"LED2,LED1";"LED_D5.0mm";2;"LED_GN";;;
15;"L1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"47uH";;;
16;"J4,J3,J2,J1";"SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm_Relief";4;"Conn_01x01";;;
17;"D1";"D_DO-35_SOD27_P10.16mm_Horizontal";1;"BAT48RL";;;
18;"C2";"C_Disc_D4.7mm_W2.5mm_P5.00mm";1;"100nF";;;
19;"C1";"CP_Radial_D6.3mm_P2.50mm";1;"220uF";;;
20;"BT1";"BatteryHolder_Keystone_2466_1xAAA";1;"NiMH 1,25V 600mAh";;;
